no.,state,mbps,qoq,yoy
1,Virginia,13.7,-4.3,30
2,Delaware,13.1,6.3,18
3,Massachusetts,13.1,2.6,22
4,Rhode Island,12.9,11,35
5,District of Columbia,12.8,5,18
6,Washington,12.5,8.5,29
7,New Hampshire,12.3,4,6
8,Utah,12.1,6,17
9,Michigan,11.8,13,42
10,Connecticut,11.7,7.2,18
11,North Dakota,11.7,14,27
12,Oregon,11.7,5.2,36
13,Wisconsin,11.5,9.2,45
14,New York,11.5,3.5,18
15,Maryland,11.3,3.7,58
16,Pennsylvania,11.3,6.3,23
17,Ohio,11.2,40,19
18,New Jersey,11.2,2,26
19,Minnesota,11.1,8.8,38
20,California,10.9,4.1,27
21,South Dakota,10.8,12,31
22,Georgia,10.7,21,57
23,Indiana,10.7,7.4,32
24,Vermont,10.2,5.7,-17
25,Nevada,10.1,16,40
26,Florida,10.1,4.4,36
27,Tennessee,9.9,7.4,30
28,Colorado,9.7,5.9,28
29,South Carolina,9.7,5.3,21
30,North Carolina,9.7,4.8,15
31,Nebraska,9.5,10,43
32,Texas,9.4,6.3,29
33,Illinois,9.2,5.7,21
34,Alabama,8.9,10,39
35,Oklahoma,8.9,8.1,30
36,Iowa,8.8,4.9,33
37,Maine,8.7,7.8,20
38,Arizona,8.7,1.1,30
39,Kansas,8.6,7.2,91
40,Hawaii,8.4,3.6,31
41,Wyoming,8,8.3,23
42,Idaho,7.7,9.5,60
43,Louisiana,7.7,-1.9,38
44,Missouri,7.7,7.6,26
45,New Mexico,7.6,1.9,22
46,Mississippi,7.6,7.3,34
47,West Virginia,7.5,6.1,29
48,Montana,7.3,9.1,25
49,Kentucky,7.3,5.8,23
50,Arkansas,7.3,8.4,69
51,Alaska,7,n/a,n/a
